agents,cost,time,generate,expande,collisionSum
NathanInstances/scen-random/random-32-32-20-random-1.scen,204,0.13,5,3
NathanInstances/scen-random/random-32-32-20-random-10.scen,225,0.28,11,6
NathanInstances/scen-random/random-32-32-20-random-11.scen,221,0.15,3,2
NathanInstances/scen-random/random-32-32-20-random-12.scen,225,0.15,9,5
NathanInstances/scen-random/random-32-32-20-random-13.scen,220,0.53,39,20
NathanInstances/scen-random/random-32-32-20-random-14.scen,210,0.12,3,2
NathanInstances/scen-random/random-32-32-20-random-15.scen,163,0.1,1,1
NathanInstances/scen-random/random-32-32-20-random-16.scen,240,618.24,73963,36982
NathanInstances/scen-random/random-32-32-20-random-17.scen,204,1.02,3,2
NathanInstances/scen-random/random-32-32-20-random-18.scen,233,0.11,1,1
NathanInstances/scen-random/random-32-32-20-random-19.scen,264,1.93,235,118
NathanInstances/scen-random/random-32-32-20-random-2.scen,203,0.2,5,3
NathanInstances/scen-random/random-32-32-20-random-20.scen,228,0.14,7,4
NathanInstances/scen-random/random-32-32-20-random-21.scen,265,1.81,17,9
NathanInstances/scen-random/random-32-32-20-random-22.scen,211,0.13,7,4
NathanInstances/scen-random/random-32-32-20-random-23.scen,240,0.28,9,5
NathanInstances/scen-random/random-32-32-20-random-24.scen,155,0.12,5,3
NathanInstances/scen-random/random-32-32-20-random-25.scen,253,0.13,3,2
NathanInstances/scen-random/random-32-32-20-random-3.scen,206,0.13,7,4
NathanInstances/scen-random/random-32-32-20-random-4.scen,240,0.15,7,4
NathanInstances/scen-random/random-32-32-20-random-5.scen,289,0.13,3,2
NathanInstances/scen-random/random-32-32-20-random-6.scen,228,0.1,1,1
NathanInstances/scen-random/random-32-32-20-random-7.scen,228,0.15,9,5
NathanInstances/scen-random/random-32-32-20-random-8.scen,232,0.13,7,4
NathanInstances/scen-random/random-32-32-20-random-9.scen,194,0.85,49,25
