agents,cost,time,generate,expande,collisionSum
NathanInstances/scen-random/random-32-32-20-random-1.scen,204,0.15,5,3
NathanInstances/scen-random/random-32-32-20-random-10.scen,225,0.36,11,6
NathanInstances/scen-random/random-32-32-20-random-11.scen,221,0.1,3,2
NathanInstances/scen-random/random-32-32-20-random-12.scen,225,0.18,17,11
NathanInstances/scen-random/random-32-32-20-random-13.scen,220,0.43,39,20
NathanInstances/scen-random/random-32-32-20-random-14.scen,210,0.09,3,2
NathanInstances/scen-random/random-32-32-20-random-15.scen,163,0.09,1,1
NathanInstances/scen-random/random-32-32-20-random-16.scen,240,0.63,62,43
NathanInstances/scen-random/random-32-32-20-random-17.scen,204,0.11,3,2
NathanInstances/scen-random/random-32-32-20-random-18.scen,233,0.15,1,1
NathanInstances/scen-random/random-32-32-20-random-19.scen,264,0.31,31,23
NathanInstances/scen-random/random-32-32-20-random-2.scen,203,0.15,5,3
NathanInstances/scen-random/random-32-32-20-random-20.scen,228,0.18,7,4
NathanInstances/scen-random/random-32-32-20-random-21.scen,265,2.07,17,9
NathanInstances/scen-random/random-32-32-20-random-22.scen,211,0.11,11,8
NathanInstances/scen-random/random-32-32-20-random-23.scen,240,0.24,16,11
NathanInstances/scen-random/random-32-32-20-random-24.scen,155,0.08,5,3
NathanInstances/scen-random/random-32-32-20-random-25.scen,253,0.09,3,2
NathanInstances/scen-random/random-32-32-20-random-3.scen,206,0.09,7,4
NathanInstances/scen-random/random-32-32-20-random-4.scen,240,0.09,7,4
NathanInstances/scen-random/random-32-32-20-random-5.scen,289,0.08,3,2
NathanInstances/scen-random/random-32-32-20-random-6.scen,228,0.07,1,1
NathanInstances/scen-random/random-32-32-20-random-7.scen,228,0.09,6,4
NathanInstances/scen-random/random-32-32-20-random-8.scen,232,0.1,7,4
NathanInstances/scen-random/random-32-32-20-random-9.scen,194,0.72,50,26
